name,username,password,email,phone,address,account_balance
Stephen Sears,GarrisonGriffith,EBC42TDA6ZS,consectetuer@tinciduntnuncac.edu,(803) 569-6968,8086 Et,100000
Oliver Gallegos,SteelFuller,QDW97DZQ3AU,est@fames.net,(725) 640-2987,766-6060 Magna. Av.,100000
Lee Lynch,NeilSheppard,FKY02VBO3BM,eros.Nam.consequat@euismod.net,(580) 638-5072,557-1628 Metus Street,100000
Jackson Montoya,BarryKirk,AUP18RKQ4PL,vel.convallis@euismod.co.uk,(434) 262-5387,9516 Sapien,100000
Cain Cole,FultonEdwards,KSB35IQD4YE,viverra.Donec.tempus@cursusin.com,(416) 603-4520,P.O. Box 574,100000
Alden Scott,GabrielNewman,LUA59AJL2QT,metus.eu.erat@erosturpisnon.co.uk,(998) 251-5927,6892 Mollis St.,100000
Wang Curry,IshmaelSimmons,YLQ48MGL7DM,non.lobortis@aliquetPhasellus.net,(553) 177-3559,6961 Metus. Avenue,100000
Yuli Simon,ErichVinson,MIE78BSH2TG,consectetuer.rhoncus.Nullam@Aliquam.co.uk,(161) 593-1667,P.O. Box 612,100000
Clark Strong,ZaneCarson,WOI73IDF2UH,Cras@consectetueradipiscingelit.net,(894) 913-0888,Ap #273-9011 Libero. St.,100000
Tucker Porter,JacksonParker,IOB32BZL0WC,a.odio@Nunclaoreetlectus.com,(158) 107-9126,373-9841 Ridiculus St.,100000
Chaim Gaines,BakerStuart,ZAX48OMV4PR,nisi.magna@tempus.net,(732) 652-6020,5998 Ipsum. St.,100000
Scott Schwartz,XanderMason,DOQ25QLF9KU,sem.Nulla@purus.co.uk,(397) 882-9425,241-4074 Risus. Av.,100000
Nikhil Khosla,nikhil,nikhil,nikhil123@gmail.com,(91) 123456789,123 lorem ipsum,100000
